arch,freshness,knob_name,knob_value,topk,num_queries,recall_at_10,recall_at_100,latency_p50_ms,latency_p95_ms,latency_p99_ms,qps
hnsw,fresh,efSearch,16,10,5000,0.93016,0.626192,0.1709,0.5412,0.81,4979.214
hnsw,fresh,efSearch,32,10,5000,0.95066,0.792766,0.1331,0.2015,0.2563,6973.0129
hnsw,fresh,efSearch,64,10,5000,0.95492,0.907112,0.1947,0.2636,0.3491,4922.8669
hnsw,fresh,efSearch,128,10,5000,0.94712,0.930858,0.3267,0.3682,0.3901,3029.4685
hnsw,fresh,efSearch,256,10,5000,0.93488,0.920356,0.5803,0.6784,0.7881,1692.1308
hnsw,partial,efSearch,16,10,5000,0.94138,0.627154,0.076,0.1131,0.2035,12139.8928
hnsw,partial,efSearch,32,10,5000,0.95206,0.79309,0.1221,0.2188,0.3158,7464.6592
hnsw,partial,efSearch,64,10,5000,0.9532,0.907262,0.196,0.2407,0.4173,4931.6978
hnsw,partial,efSearch,128,10,5000,0.94554,0.928998,0.3359,0.3901,0.4744,2937.9221
hnsw,partial,efSearch,256,10,5000,0.9348,0.919976,0.5856,0.6665,0.7012,1692.1228
hnsw,stale,efSearch,16,10,5000,0.9396,0.62712,0.0773,0.1279,0.2745,11797.3506
hnsw,stale,efSearch,32,10,5000,0.95262,0.793126,0.1285,0.1985,0.2512,7260.7792
hnsw,stale,efSearch,64,10,5000,0.9523,0.906368,0.2005,0.2641,0.301,4816.0755
hnsw,stale,efSearch,128,10,5000,0.94688,0.929452,0.3371,0.3865,0.5015,2915.1131
hnsw,stale,efSearch,256,10,5000,0.93438,0.920468,0.582,0.6508,0.6694,1707.0923
ivf,fresh,nprobe,1,10,5000,0.59278,0.52146,0.2454,0.3938,0.5448,3828.9819
ivf,fresh,nprobe,2,10,5000,0.71568,0.652684,0.4257,0.4624,0.502,2355.3494
ivf,fresh,nprobe,4,10,5000,0.79616,0.749414,0.8212,0.879,0.9221,1222.4829
ivf,fresh,nprobe,8,10,5000,0.83334,0.793674,1.5507,1.6544,1.7579,643.1172
ivf,fresh,nprobe,16,10,5000,0.83444,0.79063,3.008,3.2271,3.4584,332.7577
ivf,fresh,nprobe,32,10,5000,0.80668,0.747326,5.7194,5.9595,6.0177,174.4894
ivf,partial,nprobe,1,10,5000,0.59394,0.521066,0.2361,0.2828,0.3634,4170.3239
ivf,partial,nprobe,2,10,5000,0.71384,0.652102,0.4446,0.5117,0.5345,2244.2058
ivf,partial,nprobe,4,10,5000,0.79632,0.748896,0.8278,0.8956,0.9057,1207.3914
ivf,partial,nprobe,8,10,5000,0.83316,0.793462,1.5696,1.6701,1.7051,637.3561
ivf,partial,nprobe,16,10,5000,0.835,0.791676,2.982,3.162,3.6647,332.6734
ivf,partial,nprobe,32,10,5000,0.80826,0.747942,5.7263,6.0522,6.3167,174.5691
ivf,stale,nprobe,1,10,5000,0.59312,0.521118,0.2425,0.2842,0.4199,4107.5692
ivf,stale,nprobe,2,10,5000,0.71208,0.65136,0.4363,0.4882,0.5576,2283.0064
ivf,stale,nprobe,4,10,5000,0.79672,0.748794,0.8263,0.9576,1.1644,1202.3789
ivf,stale,nprobe,8,10,5000,0.83492,0.792334,1.5792,1.6936,1.8124,630.2472
ivf,stale,nprobe,16,10,5000,0.83362,0.789928,3.0069,3.1884,3.421,330.0306
ivf,stale,nprobe,32,10,5000,0.80702,0.74808,5.7121,6.0854,6.1735,175.0668
