arch,freshness,knob_name,knob_value,recall,centroid_hit_rate
hnsw,fresh,efSearch,16,0.626916,
hnsw,fresh,efSearch,32,0.793642,
hnsw,fresh,efSearch,64,0.923406,
hnsw,fresh,efSearch,128,0.975246,
hnsw,fresh,efSearch,256,0.99017,
ivf,fresh,nprobe,1,0.525682,0.9934
ivf,fresh,nprobe,4,0.781594,0.9934
ivf,fresh,nprobe,8,0.865446,0.9934
ivf,fresh,nprobe,16,0.92328,0.9934
ivf,fresh,nprobe,32,0.960336,0.9934
hnsw,partial,efSearch,16,0.626916,
hnsw,partial,efSearch,32,0.793642,
hnsw,partial,efSearch,64,0.923406,
hnsw,partial,efSearch,128,0.975246,
hnsw,partial,efSearch,256,0.99017,
ivf,partial,nprobe,1,0.525682,0.9934
ivf,partial,nprobe,4,0.781594,0.9934
ivf,partial,nprobe,8,0.865446,0.9934
ivf,partial,nprobe,16,0.92328,0.9934
ivf,partial,nprobe,32,0.960336,0.9934
hnsw,stale,efSearch,16,0.626916,
hnsw,stale,efSearch,32,0.793642,
hnsw,stale,efSearch,64,0.923406,
hnsw,stale,efSearch,128,0.975246,
hnsw,stale,efSearch,256,0.99017,
ivf,stale,nprobe,1,0.525682,0.9934
ivf,stale,nprobe,4,0.781594,0.9934
ivf,stale,nprobe,8,0.865446,0.9934
ivf,stale,nprobe,16,0.92328,0.9934
ivf,stale,nprobe,32,0.960336,0.9934
hnsw,fresh,efSearch,16,0.95846,
hnsw,fresh,efSearch,32,0.97798,
hnsw,fresh,efSearch,64,0.98676,
hnsw,fresh,efSearch,128,0.9898,
hnsw,fresh,efSearch,256,0.99162,
ivf,fresh,nprobe,1,0.60724,0.9934
ivf,fresh,nprobe,4,0.84094,0.9934
ivf,fresh,nprobe,8,0.90916,0.9934
ivf,fresh,nprobe,16,0.94868,0.9934
ivf,fresh,nprobe,32,0.97256,0.9934
hnsw,partial,efSearch,16,0.95846,
hnsw,partial,efSearch,32,0.97798,
hnsw,partial,efSearch,64,0.98676,
hnsw,partial,efSearch,128,0.9898,
hnsw,partial,efSearch,256,0.99162,
ivf,partial,nprobe,1,0.60724,0.9934
ivf,partial,nprobe,4,0.84094,0.9934
ivf,partial,nprobe,8,0.90916,0.9934
ivf,partial,nprobe,16,0.94868,0.9934
ivf,partial,nprobe,32,0.97256,0.9934
hnsw,stale,efSearch,16,0.95846,
hnsw,stale,efSearch,32,0.97798,
hnsw,stale,efSearch,64,0.98676,
hnsw,stale,efSearch,128,0.9898,
hnsw,stale,efSearch,256,0.99162,
ivf,stale,nprobe,1,0.60724,0.9934
ivf,stale,nprobe,4,0.84094,0.9934
ivf,stale,nprobe,8,0.90916,0.9934
ivf,stale,nprobe,16,0.94868,0.9934
ivf,stale,nprobe,32,0.97256,0.9934
