arch,freshness,knob_name,knob_value,latency_ms,jitter_ms,packet_loss,bandwidth_mbps,num_queries,failures,recall_at_10,latency_p50_ms,latency_p95_ms,latency_p99_ms,qps
hnsw,fresh,efSearch,16,0.0,5.0,0.0,1000.0,5000,0,0.7555,8.11,19.3087,24.7496,109.0571
hnsw,fresh,efSearch,32,0.0,5.0,0.0,1000.0,5000,0,0.76618,7.9694,18.7785,25.0111,110.4986
hnsw,fresh,efSearch,64,0.0,5.0,0.0,1000.0,5000,0,0.76662,8.5993,20.5808,25.8024,98.7063
hnsw,fresh,efSearch,128,0.0,5.0,0.0,1000.0,5000,0,0.76354,9.5214,21.039,26.8359,92.1392
hnsw,fresh,efSearch,256,0.0,5.0,0.0,1000.0,5000,0,0.744,11.3758,22.8925,28.6929,80.0691
hnsw,partial,efSearch,16,0.0,5.0,0.0,1000.0,5000,0,0.75818,7.9806,18.852,23.9647,107.5854
hnsw,partial,efSearch,32,0.0,5.0,0.0,1000.0,5000,0,0.7675,8.2855,19.5323,24.9717,106.8619
hnsw,partial,efSearch,64,0.0,5.0,0.0,1000.0,5000,0,0.77128,8.5331,19.2202,24.6638,101.4607
hnsw,partial,efSearch,128,0.0,5.0,0.0,1000.0,5000,0,0.76954,8.9338,19.7928,25.0819,99.7006
hnsw,partial,efSearch,256,0.0,5.0,0.0,1000.0,5000,0,0.74996,10.9471,22.0819,27.647,81.7605
hnsw,stale,efSearch,16,0.0,5.0,0.0,1000.0,5000,0,0.76432,7.3243,18.3033,23.8331,114.7054
hnsw,stale,efSearch,32,0.0,5.0,0.0,1000.0,5000,0,0.7698,8.2641,19.0964,24.217,107.9785
hnsw,stale,efSearch,64,0.0,5.0,0.0,1000.0,5000,0,0.76428,8.9253,20.4776,25.6026,96.6059
hnsw,stale,efSearch,128,0.0,5.0,0.0,1000.0,5000,0,0.75676,10.0367,21.3005,26.8657,89.6226
hnsw,stale,efSearch,256,0.0,5.0,0.0,1000.0,5000,0,0.73898,11.744,23.2106,29.3282,76.8552
ivf,fresh,nprobe,1,0.0,5.0,0.0,1000.0,5000,0,0.47044,9.2489,20.4767,26.0557,94.6994
ivf,fresh,nprobe,2,0.0,5.0,0.0,1000.0,5000,0,0.56948,10.2645,21.5494,27.2845,86.5514
ivf,fresh,nprobe,4,0.0,5.0,0.0,1000.0,5000,0,0.62326,12.2561,23.4078,28.9145,74.0352
ivf,fresh,nprobe,8,0.0,5.0,0.0,1000.0,5000,0,0.62078,16.5414,29.9114,36.6776,55.5092
ivf,fresh,nprobe,16,0.0,5.0,0.0,1000.0,5000,0,0.5929,22.043,35.6344,42.4452,42.1672
ivf,fresh,nprobe,32,0.0,5.0,0.0,1000.0,5000,0,0.4932,34.2792,49.4961,58.2364,27.3571
ivf,partial,nprobe,1,0.0,5.0,0.0,1000.0,5000,0,0.4665,9.508,21.1247,26.7882,93.6752
ivf,partial,nprobe,2,0.0,5.0,0.0,1000.0,5000,0,0.56794,9.9856,20.8904,26.5554,88.4356
ivf,partial,nprobe,4,0.0,5.0,0.0,1000.0,5000,0,0.63376,10.9596,22.2327,27.134,81.2218
ivf,partial,nprobe,8,0.0,5.0,0.0,1000.0,5000,0,0.63722,14.9364,26.4728,32.2856,61.4815
ivf,partial,nprobe,16,0.0,5.0,0.0,1000.0,5000,0,0.60608,20.6976,32.2136,38.463,44.3925
